food_id                  food_stock(数量)       food_price               
1                        1000                     28                       
2                        1000                     14                       
3                        1000                     28                       
4                        1000                     20                       
5                        1000                     3                        
6                        1000                     4                        
7                        1000                     26                       
8                        1000                     3                        
9                        1000                     11                       
10                       1000                     18                       
11                       1000                     10                       
12                       1000                     12                       
13                       1000                     14                       
14                       1000                     29                       
15                       1000                     17                       
16                       1000                     26                       
17                       1000                     8                        
18                       1000                     27                       
19                       1000                     25                       
20                       1000                     19                       
21                       1000                     16                       
22                       1000                     28                       
23                       1000                     3                        
24                       1000                     24                       
25                       1000                     12                       
26                       1000                     18                       
27                       1000                     22                       
28                       1000                     27                       
29                       1000                     17                       
30                       1000                     25                       
31                       1000                     27                       
32                       1000                     17                       
33                       1000                     18                       
34                       1000                     28                       
35                       1000                     21                       
36                       1000                     9                        
37                       1000                     13                       
38                       1000                     17                       
39                       1000                     7                        
40                       1000                     26                       
41                       1000                     29                       
42                       1000                     18                       
43                       1000                     24                       
44                       1000                     5                        
45                       1000                     21                       
46                       1000                     14                       
47                       1000                     11                       
48                       1000                     26                       
49                       1000                     27                       
50                       1000                     12                       
51                       1000                     17                       
52                       1000                     18                       
53                       1000                     23                       
54                       1000                     18                       
55                       1000                     21                       
56                       1000                     21                       
57                       1000                     24                       
58                       1000                     16                       
59                       1000                     20                       
60                       1000                     5                        
61                       1000                     25                       
62                       1000                     30                       
63                       1000                     22                       
64                       1000                     25                       
65                       1000                     24                       
66                       1000                     5                        
67                       1000                     7                        
68                       1000                     20                       
69                       1000                     30                       
70                       1000                     8                        
71                       1000                     22                       
72                       1000                     19                       
73                       1000                     29                       
74                       1000                     5                        
75                       1000                     3                        
76                       1000                     15                       
77                       1000                     24                       
78                       1000                     17                       
79                       1000                     18                       
80                       1000                     28                       
81                       1000                     13                       
82                       1000                     3                        
83                       1000                     22                       
84                       1000                     28                       
85                       1000                     30                       
86                       1000                     22                       
87                       1000                     17                       
88                       1000                     10                       
89                       1000                     15                       
90                       1000                     22                       
91                       1000                     9                        
92                       1000                     4                        
93                       1000                     4                        
94                       1000                     27                       
95                       1000                     9                        
96                       1000                     19                       
97                       1000                     12                       
98                       1000                     25                       
99                       1000                     18                       
100                      1000                     7                        
